Id,X,Y,Observation,Soil_old,Soil_new
1,221022,563424,mW,mW,mW
2,253186,561467,H,mW,H
3,228793,552558,H,mW,H
4,255636,555860,H,mW,mW
5,235705,548629,mW,mW,mW
6,222681,570906,mW,mW,H
7,226120,556055,H,mV,mW
8,222455,549431,mW,mV,mV
9,257244,523210,mV,mV,mV
10,258712,522408,mV,mV,mV
11,251822,521094,H,mW,H
12,229469,515928,mW,mW,W
13,263111,520880,V,V,V
14,255865,546814,V,V,V
15,227520,520366,mW,V,mV
16,229426,576322,V,V,V
17,248823,519712,H,W,pZ
18,231433,515002,W,W,W
19,247277,563266,W,V,mW
20,223831,566507,W,V,V
21,240901,558630,V,V,V
22,247191,546322,V,V,V
23,223041,566753,H,W,H
24,231186,563152,pZ,W,mW
25,243815,568043,H,W,H
26,238679,552730,H,H,H
27,233843,569384,H,H,H
28,222340,547020,PB,H,H
29,243551,549613,H,H,H
30,241169,559362,PB,H,H
31,246760,552980,H,H,H
32,252563,553927,pZ,H,H
33,225410,564817,H,H,H
34,233642,550399,pZ,H,H
35,238762,548688,H,H,H
36,227242,570612,H,H,H
37,241146,564727,H,H,H
38,249468,554420,Z,H,H
39,235463,565089,pZ,H,H
40,240668,568658,H,H,H
41,236270,553668,H,H,H
42,244167,554374,H,H,H
43,250523,558810,pZ,H,H
44,223303,562540,H,PB,PB
45,233663,561869,PB,PB,PB
46,226081,572314,PB,PB,PB
47,246628,560237,PB,PB,PB
48,225516,516899,PB,H,H
49,252173,540290,H,H,H
50,224290,517013,H,H,H
51,229583,572748,H,H,H
52,230721,567982,H,H,H
53,222233,517105,H,H,H
54,244677,566131,pZ,pZ,pZ
55,247619,560359,V,pZ,pZ
56,232563,575073,PB,PB,PB
57,225842,521936,Y,PB,PB
58,249088,519292,pZ,pZ,pZ
59,253678,537474,pZ,pZ,H
60,225660,538036,Z,Z,Z
61,226510,566286,Z,Z,Z
62,238390,555985,H,Y,Y
63,250507,547515,PB,Y,Y
64,262427,549535,mW,mW,H
65,250191,537397,H,mW,H
66,264792,545814,W,mW,H
67,257252,554153,mW,mW,mW
68,259502,529184,H,mW,W
69,257994,556288,W,mW,mW
70,266407,534715,mW,mW,W
71,267935,537508,W,mW,H
72,252120,544613,H,H,H
73,252627,531234,H,H,H
74,263274,551452,H,H,H
75,246930,534502,H,H,H
76,244462,545901,H,H,H
77,257937,536827,pZ,H,H
78,246512,539693,H,H,H
79,258643,528564,H,H,H
80,244634,528776,H,H,H
81,261648,533665,V,mV,mV
82,260826,539548,V,mV,mV
83,260414,544901,V,mV,mW
84,261288,523835,V,mV,mV
85,268265,534329,mW,mV,mW
86,266367,533935,mW,mV,mW
87,263612,537997,mW,mV,mV
88,265688,532385,pZ,mV,mW
89,250086,522028,H,W,H
90,246147,521953,pZ,W,W
91,249980,526323,pZ,V,W
92,245452,517061,Z,V,mW
93,256754,542644,V,V,V
94,263673,523942,mW,V,mV
95,244188,530338,H,PB,H
96,255463,535251,Y,PB,Y
97,212774,531389,pZ,H,H
98,210761,538494,H,H,H
99,233834,544986,H,H,H
100,213427,528520,H,H,H
101,231730,540695,H,H,H
102,234883,524321,mW,H,H
103,227942,547173,H,H,H
104,233312,546824,H,H,H
105,242428,542433,pZ,H,H
106,210568,544871,H,H,H
107,238424,542265,H,H,H
108,215391,541739,PB,H,H
109,220316,528152,H,H,H
110,231908,531429,H,H,H
111,238212,529759,H,H,H
112,220618,535627,H,H,H
113,236473,546686,H,H,H
114,234399,530487,H,H,H
115,225414,529071,mW,H,H
116,238752,530889,H,H,H
117,227916,530287,mW,H,H
118,230765,532433,H,H,H
119,238745,527933,mW,mW,H
120,239266,528907,H,mW,H
121,229908,538545,mV,mW,H
122,241168,526787,H,mW,H
123,243002,522410,H,mW,H
124,213243,547618,H,mW,H
125,212012,527939,PB,pZ,pZ
126,216510,520543,H,pZ,pZ
127,216281,534007,pZ,pZ,H
128,224171,538856,H,pZ,pZ
129,217504,528372,mW,W,W
130,225663,533284,V,W,W
131,230305,536788,PB,PB,PB
132,238248,541627,PB,PB,PB
133,242942,520137,PB,PB,H
134,268560,541462,pZ,pZ,pZ
135,243951,525845,pZ,pZ,pZ
136,212198,539093,V,V,V
137,218329,536029,W,V,V
138,221586,540619,pZ,V,H
139,205769,526613,mV,mV,H
140,218552,522835,mV,mV,mV
141,207754,529084,mW,mV,H
142,254449,542305,Y,Y,Z
143,255917,539466,Y,Y,Y
144,253482,540077,Y,Z,Z
145,256090,541654,H,Z,Y
